customer_id,customer_name,segment,region,city,state
CG-12520,Claire Gute,Consumer,South,Henderson,Kentucky
DV-13045,Darrin Van Huff,Corporate,West,Los Angeles,California
SO-20335,Sean O'Donnell,Consumer,South,Fort Lauderdale,Florida
BH-11710,Brosina Hoffman,Consumer,West,Los Angeles,California
AA-10480,Andrew Allen,Consumer,South,Concord,North Carolina
IM-15070,Irene Maddox,Consumer,West,Seattle,Washington
HP-14815,Harold Pawlan,Home Office,Central,Fort Worth,Texas
PK-19075,Pete Kriz,Consumer,Central,Madison,Wisconsin
AG-10270,Alejandro Grove,Consumer,West,West Jordan,Utah
ZD-21925,Zuschuss Donatelli,Consumer,West,San Francisco,California
KB-16585,Ken Black,Corporate,Central,Fremont,Nebraska
SF-20065,Sandra Flanagan,Consumer,East,Philadelphia,Pennsylvania
EB-13870,Emily Burns,Consumer,West,Orem,Utah
EH-13945,Eric Hoffmann,Consumer,West,Los Angeles,California
TB-21520,Tracy Blumstein,Consumer,East,Philadelphia,Pennsylvania
MA-17560,Matt Abelman,Home Office,Central,Houston,Texas
GH-14485,Gene Hale,Corporate,Central,Richardson,Texas
SN-20710,Steve Nguyen,Home Office,Central,Houston,Texas
LC-16930,Linda Cazamias,Corporate,Central,Naperville,Illinois
RA-19885,Ruben Ausman,Corporate,West,Los Angeles,California
ES-14080,Erin Smith,Corporate,South,Melbourne,Florida
ON-18715,Odella Nelson,Corporate,Central,Eagan,Minnesota
PO-18865,Patrick O'Donnell,Consumer,Central,Westland,Michigan
LH-16900,Lena Hernandez,Consumer,East,Dover,Delaware
DP-13000,Darren Powers,Consumer,Central,New Albany,Indiana
JM-15265,Janet Molinari,Corporate,East,New York City,New York
TB-21055,Ted Butterfield,Consumer,East,Troy,New York
KM-16720,Kunst Miller,Consumer,West,Los Angeles,California
PS-18970,Paul Stevenson,Home Office,Central,Chicago,Illinois
BS-11590,Brendan Sweed,Corporate,West,Gilbert,Arizona
KD-16270,Karen Daniels,Consumer,South,Springfield,Virginia
HM-14980,Henry MacAllister,Consumer,East,New York City,New York
TB-21520,Tracy Blumstein,Consumer,Central,Jackson,Michigan
JE-15745,Joel Eaton,Consumer,South,Memphis,Tennessee
KB-16600,Ken Brennan,Corporate,Central,Houston,Texas
JE-15745,Joel Eaton,Consumer,Central,Houston,Texas
SC-20770,Stewart Carmichael,Corporate,South,Decatur,Alabama
DN-13690,Duane Noonan,Consumer,West,San Francisco,California
